match_id,season,team1,team2,toss_winner,toss_decision,venue,winner
1,IPL-2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2,IPL-2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,Maharashtra Cricket Association Stadium,Rising Pune Supergiant
3,IPL-2017,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Saurashtra Cricket Association Stadium,Kolkata Knight Riders
4,IPL-2017,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium,Kings XI Punjab
5,IPL-2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,M Chinnaswamy Stadium,Royal Challengers Bangalore
6,IPL-2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
7,IPL-2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
8,IPL-2017,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Holkar Cricket Stadium,Kings XI Punjab
9,IPL-2017,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,field,Maharashtra Cricket Association Stadium,Delhi Daredevils
10,IPL-2017,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
11,IPL-2017,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders
12,IPL-2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Mumbai Indians
13,IPL-2017,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,Saurashtra Cricket Association Stadium,Gujarat Lions
14,IPL-2017,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Eden Gardens,Kolkata Knight Riders
15,IPL-2017,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Feroz Shah Kotla,Delhi Daredevils
16,IPL-2017,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
17,IPL-2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Rising Pune Supergiant
18,IPL-2017,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla,Kolkata Knight Riders
19,IPL-2017,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
20,IPL-2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore
21,IPL-2017,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
